"PROD_DTL_ID","COMMON_PRODUCT_NUM","PROD_DTL_NAME"
121,"900119","HWB BRD 4PK"
122,"900120","WHITE UNSLICED"
123,"900121","ROY WHI 32 SL"
126,"900124","DUPAR WHE"
127,"900125","WHEAT CLUB"
130,"900128","WHITE SLLNH"
131,"900129","HOT DOG NINE IN"
132,"900130","PLN WHE BN FOUR IN"
133,"900131","PLN WHE BN FOUR IN"
136,"900134","BREAD UNKNOWN"
137,"900135","SOBALL"
139,"900137","FREN ROLL TWLV IN"
141,"900139","SL BAKERSQ ONE INWHT"
142,"900140","POTATO BUN"
143,"900141","BAGEL INAC PL"
146,"900144","IN JUMBO WHBN"
147,"900145","IN JUMBO WHITE BN"
148,"900146","FR STICK"
149,"900147","UNSL TT APL BRD"
154,"900152","4.5 SL ON BUN 12PK"
155,"900153","SB BS CBALL BULK"
157,"900155","SB BS ROLLS BULK"
159,"900157","FR POINT SVN IN"
162,"900160","POTATO ROLL"
163,"900161","FIVE IN HAMS"
168,"900166","OSF MUSTARD PRTZ"
169,"009998","FRENCH NS"
172,"900169","HAM BUNS"
173,"900170","BD HOTDOG BUN"
176,"900173","BREAD UNKNOWN"
177,"900174","SES HAM 6 FIVE IN"
178,"900175","SESAME CONEY"
181,"900178","SOUR ROLL 32"
182,"900179","TEMP NEW PRD BRD"
184,"900181","GRATIS TEST CAKE"
185,"900182","NS WHEAT"
186,"900183","NS WHEAT"
188,"900185","GLBL EGG BGL#375"
190,"900187","TEST BAKE BREAD"
191,"900188","BREAD UNKNOWN"
193,"900190","GOG WHEAT PITA"
194,"900191","ORANGE BREAD"
196,"900193","CRUMBS TEN LBS"
197,"900194","SPD 20# BULK"
199,"900196","PL CRTN BULK"
201,"900198","APPLE BRAN MUFFIN"
202,"900199","HERITAGE WAFERS"
203,"900200","CHRI MIXES"
205,"900202","FRITO PROMOTION"
206,"900203","FRENCH CHUBS"
208,"900205","NH FRITO CR CAKE"
210,"900207","WHITE BUN FIVE IN 6"
211,"900208","BREAD UNKNOWN"
212,"900209","ATB TRIAL SIZE"
214,"900211","BARLEY FLOUR"
215,"900212","BUCKWHEAT FLOUR"
217,"900214","GLUTEN FLOUR"
219,"900216","MARGHRITE       LET"
220,"900217","LG FRENCH RL"
222,"900219","NL L CRNRYE THREELB"
2081,"901937","VEND MINI PRETZEL"
2082,"901938","VEND DIPSY DOODLE"
2083,"901939","VEND NY DELI"
2086,"901942","FM PITA SESAME"
2087,"901943","FM PITA WHEAT"
2088,"901944","PITA SESAME FM"
2092,"901948","PATHMARK SEA CRTN 6Z"
2093,"901949","PATHMARK SEA CRTN 6Z"
2094,"901950","VEND DELI CHIPS"
2095,"901951","VEND S&V CHIPS"
2098,"901954","WISE VEND BUTTER POP"
2099,"901955","VEND COTTAGE FRIES"
2102,"901958","WISE PUFFD CHEEDOODL"
2104,"901960","WISE ONION RINGS"
2105,"901961","NY DELI ALL NATURAL"
2108,"901964","BUTTER POPCORN"
2109,"901965","VEND BBQ CHIPS"
2110,"901966","WH CH POPCORN"
2111,"901967","WISE VEND HONEY BBQ"
2113,"901969","CH&SC RIDGES"
2114,"901970","CRUNCHY DOODLE"
2118,"901974","WISE CRNCHY CHEDOODL"
2119,"901975","WOSE S&V"
2120,"901976","LITE SALT CHIP"
2121,"901977","NACHO"
2124,"901980","WH CH CHEEZ DOODLES"
2125,"901981","VEND CHEDDAR POP"
2126,"901982","VEND SC&O CHIPS"
2127,"901983","WISE CRISPY RIDGIE"
2130,"901986","HANNAFORD ON-GAR6Z"
2134,"004044","IGA SAND 8"
2135,"001831","IGA HAM 8P 12Z"
2139,"901992","IGA HOT 8P 12Z"
